Year,Population
2017,325720000
2016,323410000
2015,321040000
2014,318620000
2013,316230000
2012,313990000
2011,311640000
2010,309340000
2009,306770000
2008,304090000
2007,301230000
2006,298380000
2005,295520000
2004,292810000
2003,290110000
2002,287630000
2001,284970000
2000,282160000
1999,279040000
1998,275850000
1997,272650000
1996,269390000
1995,266280000
1994,263130000
1993,259920000
1992,256510000
1991,252980000
1990,249620000
1989,246820000
1988,244500000
1987,242290000
1986,240130000
1985,237920000
1984,235820000
1983,233790000
1982,231660000
1981,229470000
1980,227220000
1979,225060000
